device,num_adversaries,f1,tp,fp,tn,fn,aggregation,injected
pi4-4gb,3,43.54628422425033,167,0,150,433,coordinate_wise_median,pi4-2gb-bc
All,3,36.400817995910025,534,0,600,1866,coordinate_wise_median,pi4-2gb-bc
pi3-1gb,4,0.9950248756218907,3,0,150,597,coordinate_wise_median,pi4-2gb-bc
pi4-2gb-bc,4,85.69118835893292,530,107,43,70,coordinate_wise_median,pi4-2gb-bc
pi4-2gb-wc,4,85.19108280254778,535,121,29,65,coordinate_wise_median,pi4-2gb-bc
pi4-4gb,4,85.96774193548387,533,107,43,67,coordinate_wise_median,pi4-2gb-bc
All,4,73.8468634686347,1601,335,265,799,coordinate_wise_median,pi4-2gb-bc
pi3-1gb,0,85.38681948424069,447,0,150,153,fed_avg,pi4-4gb
pi4-2gb-bc,0,86.25592417061611,455,0,150,145,fed_avg,pi4-4gb
pi4-2gb-wc,0,86.47114474929045,457,0,150,143,fed_avg,pi4-4gb
pi4-4gb,0,87.00564971751412,462,0,150,138,fed_avg,pi4-4gb
All,0,86.28287135749822,1821,0,600,579,fed_avg,pi4-4gb
pi3-1gb,1,87.21804511278195,464,0,150,136,fed_avg,pi4-4gb
pi4-2gb-bc,1,95.74283231972197,551,0,150,49,fed_avg,pi4-4gb
pi4-2gb-wc,1,94.64442493415277,539,0,150,61,fed_avg,pi4-4gb
pi4-4gb,1,95.11343804537522,545,1,149,55,fed_avg,pi4-4gb
All,1,93.28888888888889,2099,1,599,301,fed_avg,pi4-4gb
pi3-1gb,2,82.12180746561886,418,0,150,182,fed_avg,pi4-4gb
pi4-2gb-bc,2,75.74819401444789,367,2,148,233,fed_avg,pi4-4gb
pi4-2gb-wc,2,76.41606591143152,371,0,150,229,fed_avg,pi4-4gb
pi4-4gb,2,76.56090071647903,374,3,147,226,fed_avg,pi4-4gb
All,2,77.76365946632782,1530,5,595,870,fed_avg,pi4-4gb
pi3-1gb,3,66.66666666666666,300,0,150,300,fed_avg,pi4-4gb
pi4-2gb-bc,3,83.7914691943128,442,13,137,158,fed_avg,pi4-4gb
pi4-2gb-wc,3,81.14832535885168,424,21,129,176,fed_avg,pi4-4gb
pi4-4gb,3,70.04132231404958,339,29,121,261,fed_avg,pi4-4gb
All,3,75.85685483870968,1505,63,537,895,fed_avg,pi4-4gb
pi3-1gb,4,39.357429718875494,147,0,150,453,fed_avg,pi4-4gb
pi4-2gb-bc,4,83.27702702702702,493,91,59,107,fed_avg,pi4-4gb
pi4-2gb-wc,4,84.62809917355372,512,98,52,88,fed_avg,pi4-4gb
pi4-4gb,4,78.95622895622895,469,119,31,131,fed_avg,pi4-4gb
All,4,74.8902748902749,1621,308,292,779,fed_avg,pi4-4gb
pi3-1gb,0,85.82302568981922,451,0,150,149,trimmed_mean,pi4-4gb
pi4-2gb-bc,0,85.27724665391969,446,0,150,154,trimmed_mean,pi4-4gb
pi4-2gb-wc,0,85.16746411483254,445,0,150,155,trimmed_mean,pi4-4gb
pi4-4gb,0,85.82302568981922,451,0,150,149,trimmed_mean,pi4-4gb
All,0,85.52349153350822,1793,0,600,607,trimmed_mean,pi4-4gb
pi3-1gb,1,88.05970149253731,472,0,150,128,trimmed_mean,pi4-4gb
pi4-2gb-bc,1,86.68555240793201,459,0,150,141,trimmed_mean,pi4-4gb
pi4-2gb-wc,1,86.57844990548205,458,0,150,142,trimmed_mean,pi4-4gb
pi4-4gb,1,87.00564971751412,462,0,150,138,trimmed_mean,pi4-4gb
All,1,87.08539167254764,1851,0,600,549,trimmed_mean,pi4-4gb
pi3-1gb,2,74.21383647798743,354,0,150,246,trimmed_mean,pi4-4gb
pi4-2gb-bc,2,75.51867219917013,364,0,150,236,trimmed_mean,pi4-4gb
pi4-2gb-wc,2,75.77639751552795,366,0,150,234,trimmed_mean,pi4-4gb
pi4-4gb,2,76.22950819672131,372,4,146,228,trimmed_mean,pi4-4gb
All,2,75.44041450777202,1456,4,596,944,trimmed_mean,pi4-4gb
pi3-1gb,3,66.51835372636263,299,0,150,301,trimmed_mean,pi4-4gb
