device,num_adversaries,f1,tp,fp,tn,fn,aggregation,injected
pi3-1gb,2,88.8888888888889,800,200,0,0,coordinate_wise_median,pi4-2gb-bc
pi4-2gb-bc,2,63.38147833474936,373,4,196,427,coordinate_wise_median,pi4-2gb-bc
pi4-2gb-wc,2,63.94557823129251,376,0,200,424,coordinate_wise_median,pi4-2gb-bc
pi4-4gb,2,65.88628762541806,394,2,198,406,coordinate_wise_median,pi4-2gb-bc
All,2,72.64909328846514,1943,206,594,1257,coordinate_wise_median,pi4-2gb-bc
pi3-1gb,3,89.000558347292,797,194,6,3,coordinate_wise_median,pi4-2gb-bc
pi4-2gb-bc,3,8.35322195704057,35,3,197,765,coordinate_wise_median,pi4-2gb-bc
pi4-2gb-wc,3,11.320754716981131,48,0,200,752,coordinate_wise_median,pi4-2gb-bc
pi4-4gb,3,11.750881316098706,50,1,199,750,coordinate_wise_median,pi4-2gb-bc
All,3,42.975970425138634,930,198,602,2270,coordinate_wise_median,pi4-2gb-bc
pi3-1gb,4,88.8888888888889,800,200,0,0,coordinate_wise_median,pi4-2gb-bc
pi4-2gb-bc,4,11.280846063454758,48,3,197,752,coordinate_wise_median,pi4-2gb-bc
pi4-2gb-wc,4,16.091954022988507,70,0,200,730,coordinate_wise_median,pi4-2gb-bc
pi4-4gb,4,14.36848203939745,62,1,199,738,coordinate_wise_median,pi4-2gb-bc
All,4,44.70802919708029,980,204,596,2220,coordinate_wise_median,pi4-2gb-bc
pi3-1gb,0,85.91648973814578,607,6,194,193,fed_avg,pi4-4gb
pi4-2gb-bc,0,86.05803255484786,608,5,195,192,fed_avg,pi4-4gb
pi4-2gb-wc,0,86.03988603988604,604,0,200,196,fed_avg,pi4-4gb
pi4-4gb,0,85.83629893238435,603,2,198,197,fed_avg,pi4-4gb
All,0,85.96273291925466,2422,13,787,778,fed_avg,pi4-4gb
pi3-1gb,1,68.68356500408831,420,3,197,380,fed_avg,pi4-4gb
pi4-2gb-bc,1,53.73406193078324,295,3,197,505,fed_avg,pi4-4gb
pi4-2gb-wc,1,54.14767547857794,297,0,200,503,fed_avg,pi4-4gb
pi4-4gb,1,50.23342670401494,269,2,198,531,fed_avg,pi4-4gb
All,1,57.07284473156604,1281,8,792,1919,fed_avg,pi4-4gb
pi3-1gb,2,66.72212978369384,401,1,199,399,fed_avg,pi4-4gb
pi4-2gb-bc,2,41.30434782608695,209,3,197,591,fed_avg,pi4-4gb
pi4-2gb-wc,2,42.67453294001967,217,0,200,583,fed_avg,pi4-4gb
pi4-4gb,2,38.83299798792756,193,1,199,607,fed_avg,pi4-4gb
All,2,48.28402366863905,1020,5,795,2180,fed_avg,pi4-4gb
pi3-1gb,3,39.960039960039964,200,1,199,600,fed_avg,pi4-4gb
pi4-2gb-bc,3,5.569007263922518,23,3,197,777,fed_avg,pi4-4gb
pi4-2gb-wc,3,7.6923076923076925,32,0,200,768,fed_avg,pi4-4gb
pi4-4gb,3,6.7551266586248495,28,1,199,772,fed_avg,pi4-4gb
All,3,16.227064220183486,283,5,795,2917,fed_avg,pi4-4gb
pi3-1gb,4,37.85425101214575,187,1,199,613,fed_avg,pi4-4gb
pi4-2gb-bc,4,6.971153846153847,29,3,197,771,fed_avg,pi4-4gb
pi4-2gb-wc,4,9.750297265160523,41,0,200,759,fed_avg,pi4-4gb
pi4-4gb,4,7.451923076923076,31,1,199,769,fed_avg,pi4-4gb
All,4,16.490123103349553,288,5,795,2912,fed_avg,pi4-4gb
pi3-1gb,0,88.8888888888889,800,200,0,0,trimmed_mean,pi4-4gb
pi4-2gb-bc,0,85.93639575971733,608,7,193,192,trimmed_mean,pi4-4gb
pi4-2gb-wc,0,85.91749644381223,604,2,198,196,trimmed_mean,pi4-4gb
pi4-4gb,0,85.91749644381223,604,2,198,196,trimmed_mean,pi4-4gb
All,0,86.80935788949726,2616,211,589,584,trimmed_mean,pi4-4gb
pi3-1gb,1,71.57561361836896,452,11,189,348,trimmed_mean,pi4-4gb
pi4-2gb-bc,1,53.46715328467154,293,3,197,507,trimmed_mean,pi4-4gb
pi4-2gb-wc,1,53.47985347985348,292,0,200,508,trimmed_mean,pi4-4gb
pi4-4gb,1,49.812734082397014,266,2,198,534,trimmed_mean,pi4-4gb
All,1,57.667625580880724,1303,16,784,1897,trimmed_mean,pi4-4gb
pi3-1gb,2,47.42857142857143,249,1,199,551,trimmed_mean,pi4-4gb
pi4-2gb-bc,2,24.48087431693989,112,3,197,688,trimmed_mean,pi4-4gb
pi4-2gb-wc,2,24.75355969331873,113,0,200,687,trimmed_mean,pi4-4gb
pi4-4gb,2,23.956043956043956,109,1,199,691,trimmed_mean,pi4-4gb
All,2,30.78141499472017,583,5,795,2617,trimmed_mean,pi4-4gb
pi3-1gb,3,58.553791887125215,332,2,198,468,trimmed_mean,pi4-4gb
pi4-2gb-bc,3,6.038647342995169,25,3,197,775,trimmed_mean,pi4-4gb
pi4-2gb-wc,3,9.750297265160523,41,0,200,759,trimmed_mean,pi4-4gb
pi4-4gb,3,7.451923076923076,31,1,199,769,trimmed_mean,pi4-4gb
All,3,23.603851444291607,429,6,794,2771,trimmed_mean,pi4-4gb
pi3-1gb,4,57.548845470692726,324,2,198,476,trimmed_mean,pi4-4gb
pi4-2gb-bc,4,6.038647342995169,25,3,197,775,trimmed_mean,pi4-4gb
pi4-2gb-wc,4,9.750297265160523,41,0,200,759,trimmed_mean,pi4-4gb
pi4-4gb,4,7.451923076923076,31,1,199,769,trimmed_mean,pi4-4gb
All,4,23.21477805348773,421,6,794,2779,trimmed_mean,pi4-4gb
pi3-1gb,0,88.8888888888889,800,200,0,0,trimmed_mean_2,pi4-4gb
pi4-2gb-bc,0,85.93639575971733,608,7,193,192,trimmed_mean_2,pi4-4gb
pi4-2gb-wc,0,85.85643212508883,604,3,197,196,trimmed_mean_2,pi4-4gb
pi4-4gb,0,85.85643212508883,604,3,197,196,trimmed_mean_2,pi4-4gb
All,0,86.78056062365233,2616,213,587,584,trimmed_mean_2,pi4-4gb
pi3-1gb,1,72.85601888276946,463,8,192,337,trimmed_mean_2,pi4-4gb
pi4-2gb-bc,1,39.72055888223553,199,3,197,601,trimmed_mean_2,pi4-4gb
pi4-2gb-wc,1,42.0533070088845,213,0,200,587,trimmed_mean_2,pi4-4gb
pi4-4gb,1,38.50806451612903,191,1,199,609,trimmed_mean_2,pi4-4gb
All,1,49.83637213651239,1066,12,788,2134,trimmed_mean_2,pi4-4gb
pi3-1gb,2,68.79084967320263,421,3,197,379,trimmed_mean_2,pi4-4gb
pi4-2gb-bc,2,49.06015037593984,261,3,197,539,trimmed_mean_2,pi4-4gb
pi4-2gb-wc,2,50.88536812674743,273,0,200,527,trimmed_mean_2,pi4-4gb
pi4-4gb,2,46.06525911708253,240,2,198,560,trimmed_mean_2,pi4-4gb
All,2,54.281171928230755,1195,8,792,2005,trimmed_mean_2,pi4-4gb
pi3-1gb,3,61.724137931034484,358,2,198,442,trimmed_mean_2,pi4-4gb
pi4-2gb-bc,3,5.333333333333334,22,3,197,778,trimmed_mean_2,pi4-4gb
pi4-2gb-wc,3,7.923169267707084,33,0,200,767,trimmed_mean_2,pi4-4gb
pi4-4gb,3,6.7551266586248495,28,1,199,772,trimmed_mean_2,pi4-4gb
